,Proj Pts,Salary,QB,RB,RB,WR,WR,WR,TE,RB/WR/TE,DST
69,145.35590222222223,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,T.Y. Hilton,Jets 
70,145.17134222222222,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,T.Y. Hilton,Cardinals 
71,143.58841222222222,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,T.Y. Hilton,Dolphins 
72,145.5142772222222,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,T.Y. Hilton,WAS Football Team 
73,147.56417999999996,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,John Brown,Vikings 
74,147.32167999999996,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,John Brown,Panthers 
75,147.41942999999998,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,John Brown,Seahawks 
76,147.41342999999998,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,John Brown,Falcons 
77,145.81967999999998,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,John Brown,Jaguars 
78,146.39742999999996,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,John Brown,Buccaneers 
79,145.89742999999996,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,John Brown,Browns 
80,144.80267999999998,49500.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,John Brown,Jets 
81,144.61811999999998,49500.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,John Brown,Cardinals 
82,142.4715788888889,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Tyler Boyd,Dolphins 
83,144.3974438888889,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Tyler Boyd,WAS Football Team 
84,145.10920777777775,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Jarvis Landry,Buccaneers 
85,144.60920777777775,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Jarvis Landry,Browns 
86,143.51445777777778,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Jarvis Landry,Jets 
87,143.32989777777777,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Jarvis Landry,Cardinals 
88,141.74696777777777,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Jarvis Landry,Dolphins 
89,143.67283277777776,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Jarvis Landry,WAS Football Team 
90,145.10920777777775,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Odell Beckham Jr.,Buccaneers 
91,144.60920777777775,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Odell Beckham Jr.,Browns 
92,143.51445777777778,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Odell Beckham Jr.,Jets 
93,143.32989777777777,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Odell Beckham Jr.,Cardinals 
94,141.74696777777777,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Odell Beckham Jr.,Dolphins 
95,143.67283277777776,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Odell Beckham Jr.,WAS Football Team 
96,145.94381888888887,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,A.J. Green,Seahawks 
97,145.93781888888887,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,A.J. Green,Falcons 
98,144.34406888888887,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,A.J. Green,Jaguars 
99,144.92181888888885,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,A.J. Green,Buccaneers 
100,144.42181888888885,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,A.J. Green,Browns 
101,143.32706888888887,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,A.J. Green,Jets 
102,143.14250888888887,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,A.J. Green,Cardinals 
103,141.55957888888886,49500.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,A.J. Green,Dolphins 
104,143.48544388888885,49500.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,A.J. Green,WAS Football Team 
105,147.9634438888889,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DeSean Jackson,Patriots 
